,scraped_bday,home_town,scraped_dday,living_status,summary,wiki_page,image
Myq Kaplan,1978-10-7,"Livingston, New Jersey",,Alive,"Myq Kaplan (born October 7, 1978[1]) is an American stand-up comedian. Born Michael Kaplan[2] in Livingston, New Jersey,[3][4] he is based in Boston[5] and New York City.[6]Kaplan received his bachelor's degree from Brandeis University in 2000[2] and a master's degree in linguistics from Boston University.[7] While a student at Boston University in 2005, he won its ""funniest student"" contest.",https://en.wikipedia.org/wiki/Myq_Kaplan,https://upload.wikimedia.org/wikipedia/commons/a/a4/Myq_Kaplan%2C_the_Meltdown%2C_December_2011.jpg
Aaron Karo,1979-06-18,"Plainview, New York",,Alive,"Aaron Karo (born June 18, 1979) is an American stand-up comedian[1] and author best known for his Ruminations email column and series of books, his young adult novel Lexapros and Cons, and his Comedy Central special Aaron Karo: The Rest Is History.In September 1997, as a freshman at the University of Pennsylvania's Wharton School, Karo sent a humorous email about college to twenty of his friends.  That email spawned an “email column” called Ruminations on College Life that Karo began sending on a regular basis.  Through forwarding and word-of-mouth, the column spread and readers began subscribing to receive the column directly.",https://en.wikipedia.org/wiki/Aaron_Karo,https://upload.wikimedia.org/wikipedia/commons/c/cf/Aaron_Karo.jpg
Moshe Kasher,1979-7-6,"Queens, New York City|New York, U.S.",,Alive,"Mark Moshe Kasher[1] (born July 6, 1979)[2][3] is an American stand-up comedian, writer and actor based in the Los Angeles area.[2][4] He is the author of the 2012 memoir Kasher in the Rye: The True Tale of a White Boy from Oakland Who Became a Drug Addict, Criminal, Mental Patient, and Then Turned 16.In 2009, iTunes named Kasher ""Best New Comic"" and his comedy album Everyone You Know Is Going to Die, and Then You Are! was ranked one of the top 20 comedy albums on iTunes that same year.[4][5] He was also named ""Comic to Watch in 2010"" by Punchline Magazine.",https://en.wikipedia.org/wiki/Moshe_Kasher,https://upload.wikimedia.org/wikipedia/commons/f/f9/Moshe_Kasher_%284463668533%29.jpg
Jackie Kashian,1965-7-20,"South Milwaukee, Wisconsin, United States",,Alive,"Jackie Kashian (born July 20, 1965) is an American stand-up comedian.Kashian, who is of Armenian descent, was born in South Milwaukee, Wisconsin and raised by her father, Elliot, and her stepmother, Nancy, along with her four older brothers and one older sister.  She graduated from South Milwaukee High School in 1983.[1]Kashian discovered her love of stand-up comedy while attending The University of Wisconsin-Madison, and was soon given stage time at a club operated by Bill Kinison, the brother of Sam Kinison, five nights a week.",https://en.wikipedia.org/wiki/Jackie_Kashian,https://upload.wikimedia.org/wikipedia/commons/e/ef/Jackie_Kashian.jpg
Andy Kaufman,1949-1-17,"New York City, U.S.",1984-5-16,Deceased,"Andrew Geoffrey Kaufman (/ˈkaʊfmən/;[1] January 17, 1949 – May 16, 1984)[2] was an American entertainer, actor, writer, wrestler and performance artist. While often called a comedian, Kaufman described himself instead as a ""song and dance man"".[3] He disdained telling jokes and engaging in comedy as it was traditionally understood, once saying in a rare introspective interview, ""I am not a comic, I have never told a joke. .",https://en.wikipedia.org/wiki/Andy_Kaufman,https://upload.wikimedia.org/wikipedia/en/9/9a/Akaufman1.jpg
Robert Kelly,1970-10-8,"Medford, Massachusetts, United States",,Alive,"Robert Kelly (born October 8, 1970) is an American stand-up comedian, actor, radio personality, and podcast host.Kelly frequently performs at the Comedy Cellar. He often appeared on The Opie and Anthony Show on Sirius XM Satellite Radio, and has also appeared on Last Call with Carson Daly, Tough Crowd with Colin Quinn, and Premium Blend.[1]Kelly was born in Medford, Massachusetts, three miles away from Boston.",https://en.wikipedia.org/wiki/Robert_Kelly_(comedian),https://upload.wikimedia.org/wikipedia/commons/3/38/Robert_Kelly_by_Gage_Skidmore.jpg
Jamie Kennedy,1970-5-25,"Upper Darby, Pennsylvania, U.S.",,Alive,"James Harvey Kennedy (born May 25, 1970) is an American stand-up comedian, television producer, screenwriter, and actor. He is best known for playing Randy Meeks in the Scream franchise (1996-2000) and playing various characters in The Jamie Kennedy Experiment (2002-2004) on The WB. His other notable film roles include Romeo + Juliet (1996), Bowfinger (1999), Malibu's Most Wanted (2003), Finding Bliss (2009) and Good Deeds (2012). He has starred in the CBS drama Ghost Whisperer (2005-2010), provided voice-work for The Cleveland Show (2009-2013) and regularly tours as a stand-up comedian and podcaster.",https://en.wikipedia.org/wiki/Jamie_Kennedy,https://upload.wikimedia.org/wikipedia/commons/9/9f/Jamie_Kennedy_Comic-Con_2012.jpg
Tom Kenny,1962-07-13,"Syracuse, New York, U.S.",,Alive,"Thomas James Kenny (born July 13, 1962) is an American actor and comedian. He is known for voicing the title character in the SpongeBob SquarePants TV series, video games, and films. Kenny has voiced many other characters including Heffer Wolfe in Rocko's Modern Life; the Ice King in Adventure Time; the Narrator and Mayor in The Powerpuff Girls; Carl Chryniszzswics in Johnny Bravo; Dog in CatDog; Hank and Jeremy in Talking Tom and Friends; and Spyro from the Spyro the Dragon video game series. His live-action work includes the comedy variety shows The Edge and Mr.",https://en.wikipedia.org/wiki/Tom_Kenny,https://upload.wikimedia.org/wikipedia/commons/0/05/Tom_Kenny_%26_Yuri_Lowenthal_%2826231588147%29_%28cropped%29.jpg
Laurie Kilmartin,1965-07-16,"San Jose, California, U.S.",,Alive,"Laurie Kilmartin (born July 16, 1965)[1] is an American comedian and writer best known for being a finalist on Last Comic Standing season 7. She is currently a staff writer for the Conan O'Brien show Conan.Kilmartin was born in 1965 in Santa Clara County, California, and grew up in Walnut Creek, California.[2][3] Her father was a civil engineer, and worked abroad for much of her childhood, building dams and bridges in Iran, Nicaragua, Saudi Arabia, and the Philippines.",https://en.wikipedia.org/wiki/Laurie_Kilmartin,https://upload.wikimedia.org/wikipedia/commons/d/d7/Laurie_Kilmartin.jpg
Jamie Kilstein,1982-05-17,"Washington, D.C., U.S.",,Alive,"Jamie Alexander Kilstein (born May 17, 1982) is an American writer, radio host, and stand-up comic. He made his debut television appearance on Conan and has been seen on MSNBC's Up with Chris Hayes, Countdown with Keith Olbermann, Showtime, and BBC America. Kilstein previously hosted the internet talk radio show Citizen Radio along with his former wife, political columnist Allison Kilkenny; he left the show after allegations of predatory sexual misconduct against multiple women.[1][2]Kilstein grew up in Pennington, New Jersey, and is the oldest of five children.",https://en.wikipedia.org/wiki/Jamie_Kilstein,https://upload.wikimedia.org/wikipedia/commons/6/62/JamieKilsteinMelbourneGala.jpg
Jimmy Kimmel,1967-11-13,"New York City, U.S.",,Alive,"James Christian Kimmel (born November 13, 1967) is an American television host, comedian, writer, and producer. He is the host and executive producer of Jimmy Kimmel Live!, a late-night talk show that premiered on ABC on January 26, 2003 at Hollywood Masonic Temple in Hollywood, California; and on April 1, 2019, at a secondary home, the Zappos Theater on the Las Vegas Strip. Kimmel hosted the Primetime Emmy Awards in 2012 and 2016, and the Academy Awards in 2017 and 2018.Before hosting Jimmy Kimmel Live!, he was known as the co-host of Comedy Central's The Man Show and Win Ben Stein's Money.",https://en.wikipedia.org/wiki/Jimmy_Kimmel,https://upload.wikimedia.org/wikipedia/commons/6/6a/Jimmy_Kimmel_and_Cousin_Sal_%28cropped%29.jpg
Andy Kindler,1956-10-16,"Queens, New York, U.S.",,Alive,"Andy Kindler (born October 16, 1956) is an American comedian from Queens, New York.[2] He played the character ""Andy"", a fellow sportswriter and friend of sportswriter ""Ray Barone"" (Ray Romano) on the TV show Everybody Loves Raymond, was a regular guest on Late Show with David Letterman, contributor to The Daily Show and has performed on HBO. Kindler frequently performs as a voice actor in animated television series from producer Loren Bouchard, including roles on Dr. Katz, Home Movies and the recurring character of Mort, the mortician, on Bob's Burgers.",https://en.wikipedia.org/wiki/Andy_Kindler,https://upload.wikimedia.org/wikipedia/commons/b/b4/Andy_Kindler_Sled_Island_2019.jpg
Alan King,1927-12-26,"New York City, New York (state)|New York, U.S.",2004-5-9,Deceased,"Alan King (born Irwin Alan Kniberg; December 26, 1927 – May 9, 2004) was an American actor and comedian known for his biting wit and often angry humorous rants. King became well known as a Jewish comedian and satirist. He was also a serious actor who appeared in a number of movies and television shows. King wrote several books, produced films, and appeared in plays.",https://en.wikipedia.org/wiki/Alan_King_(comedian),https://upload.wikimedia.org/wikipedia/commons/5/5c/Alan_king_1966.JPG
Sam Kinison,1953-12-8,"Yakima, Washington, U.S.",1992-4-10,Deceased,"Samuel Burl Kinison (/ˈkɪnɪsən/; December 8, 1953 – April 10, 1992) was an American stand-up comedian and actor. A former Pentecostal preacher, he performed stand-up routines that were characterized by an intense style, similar to charismatic preachers, and punctuated by his distinct scream.Samuel Burl Kinison was born in Yakima, Washington on December 8, 1953, the son of Marie Florence (née Morrow) and Samuel Earl Kinison, a Pentecostal preacher.[1] The family moved to East Peoria, Illinois when Kinison was three months old.",https://en.wikipedia.org/wiki/Sam_Kinison,https://upload.wikimedia.org/wikipedia/en/0/0b/Sam_Kinison_%26_Rodney_Dangerfield.jpg
Jen Kirkman,1974-8-28,"Needham, Massachusetts, U.S.",,Alive,"Jennifer Ann Kirkman[1] (born August 28, 1974) is an American stand-up comedian and screenwriter, podcaster, and actress. She is known for her regular appearances as a round-table panelist on Chelsea Lately and as a guest on @midnight, as well as for her appearances on the Funny or Die sketch series Drunk History, and its continuation television series on Comedy Central.Her first three comedy albums released are Self Help (2006), Hail to the Freaks (2011) and I'm Gonna Die Alone (And I Feel Fine) (2016), the latter also serving as her debut stand-up feature for Netflix. Her second stand-up feature, Just Keep Livin'?, premiered in January 2017 and was released as an album in November 2018.",https://en.wikipedia.org/wiki/Jen_Kirkman,https://upload.wikimedia.org/wikipedia/commons/1/11/Jen_Kirkman_October-2011.jpg
Jonathan Kite,1979-09-2,"Skokie, Illinois, United States",,Alive,"Jonathan Kite (born September 2, 1979) is an American actor, comedian and impressionist.  He is perhaps best known for his role as Oleg Golishevsky  on 2 Broke Girls.[1]Kite grew up in Skokie, Illinois,[2] the son of Lynn and David Kite.[3] He attended Old Orchard Junior High and Niles North High School.",https://en.wikipedia.org/wiki/Jonathan_Kite,No Image
Robert Klein,1942-2-8,"The Bronx, New York (state)|New York, U.S.",,Alive,"Robert Klein (born February 8, 1942) is an American stand-up comedian, singer, and actor. He had several comedy albums in the 1970s, was nominated for a Best Actor in a Musical Tony Award for 1979's They're Playing Our Song, and has made a variety of TV and movie appearances, including hosting Saturday Night Live twice.Klein was born in the Bronx, the son of Frieda (née Moskowitz) and Benjamin Klein[1][2] and was raised in a ""prototypical 1950s Bronx Jewish"" environment,[3] the grandson of Hungarian Jewish immigrants who arrived in the USA early in the 20th century.[4] After graduating from DeWitt Clinton High School,[5] Klein had planned to study medicine; however, he changed his mind during his studies at Alfred University,[6] After graduating, he studied at the Yale Drama School[7] when he learned about an opportunity to audition for The Second City.",https://en.wikipedia.org/wiki/Robert_Klein,https://upload.wikimedia.org/wikipedia/commons/3/39/Robert_Klein.jpg
Don Knotts,1924-7-21,"Morgantown, West Virginia, U.S.",2006-2-24,Deceased,"Jesse Donald Knotts (July 21, 1924 – February 24, 2006) was an American actor and comedian, best known for his role as Deputy Sheriff Barney Fife on The Andy Griffith Show, a 1960s sitcom for which he earned five Emmy Awards[1], and for his role as Ralph Furley on the highly rated[2] sitcom Three's Company from 1979 to 1984. He also starred in multiple comedic films, including playing Luther Heggs in The Ghost and Mr. Chicken (1966) and Henry Limpet in The Incredible Mr. Limpet (1964).",https://en.wikipedia.org/wiki/Don_Knotts,https://upload.wikimedia.org/wikipedia/commons/f/f4/Don_Knotts_Barney_Fife_1966.JPG
David Koechner,1962-8-24,"Tipton, Missouri, U.S.",,Alive,"David Michael Koechner (/ˈkɛknər/ KEK-nər;[2] born August 24, 1962) is an American actor and comedian, best known for playing roles such as Champ Kind in the Anchorman films and Todd Packer on NBC's The Office.Koechner first became involved in performing when he began studying improvisational comedy in Chicago at ImprovOlympic, under the teachings of Del Close, before joining the Second City Northwest. After yearlong stints of doing sketch comedy on Saturday Night Live and Late Night with Conan O'Brien in the mid 1990s, Koechner began appearing with small roles in the films such as Wag the Dog, Austin Powers: The Spy Who Shagged Me, and Man on the Moon.While filming the country mockumentary film Dill Scallion in 1998, Koechner befriended actor/comedian Dave 'Gruber' Allen, and eventually began performing as the comedy duo, The Naked Trucker & T-Bones Show, a live musical comedy act.",https://en.wikipedia.org/wiki/David_Koechner,https://upload.wikimedia.org/wikipedia/commons/c/c0/David_Koechner.jpg
Hari Kondabolu,1982-10-21,"New York City, New York, U.S.",,Alive,"Hari Karthikeya Kondabolu[1] (Telugu: హరి కొండబోలు; born 1982)[2] is an American stand-up comic, actor, filmmaker, and podcast host. His comedy covers subjects such as race, identity, inequality, and the LGBT community. He was a writer for Totally Biased with W. Kamau Bell.",https://en.wikipedia.org/wiki/Hari_Kondabolu,https://upload.wikimedia.org/wikipedia/commons/c/c1/Hari_Kondabolu.png
Lynne Koplitz,1969-6-13,"Long Island, New York|Long Island, New York (state)|New York, United States of America|USA",,Alive,"Lynne Koplitz is an American stand-up comedian and actress. Koplitz was host of Telepictures' nationally syndicated dating show Change of Heart, guest host on NBC's Later, co-host of the Food Network's How to Boil Water, and co-host of Sony Pictures syndicated talk show Life and Style. Her stand-up has appeared on a number of Comedy Central specials, including Premium Blend and Comedy Central Presents. She performed at the Just for Laughs comedy festival in Montreal.",https://en.wikipedia.org/wiki/Lynne_Koplitz,No Image
Michael Kosta,1979-9,"Ann Arbor, Michigan, U.S.",,Alive,"Michael Kosta (September 27, 1979) is an American stand-up comedian. In July 2017, he joined The Daily Show as a correspondent.[1] He has also hosted The Comment Section for the E! Network with producer Joel McHale as well as co-hosting Fox Sports 1’s Crowd Goes Wild. Kosta was born and raised in Ann Arbor, Michigan and went to Huron High School before attending the University of Illinois[2].",https://en.wikipedia.org/wiki/Michael_Kosta,https://upload.wikimedia.org/wikipedia/commons/1/17/Michael_Kosta_2017.jpg
Jo Koy,1971-6-2,"Tacoma, Washington, United States|U.S.",,Alive,"Joseph Glenn Herbert (born June 2, 1971[1][3]), known professionally as Jo Koy, is a Filipino-American stand-up comic. He was a frequent  panelist on E!'s late night show Chelsea Lately. He has since had a number of Comedy Central and Netflix specials.Jo Koy is of Filipino, European and American descent.",https://en.wikipedia.org/wiki/Jo_Koy,https://upload.wikimedia.org/wikipedia/commons/7/7d/Jo_Koy_1a.jpg
Bert Kreischer,1972-11-3,"Tampa, Florida|Tampa, Florida, United States|U.S.",,Alive,"Bert Kreischer (born November 3, 1972) is an American stand-up comedian, reality television host and actor. In 1997 he was featured in an article in Rolling Stone while attending Florida State University.[2] The magazine named Kreischer ""the top partyer at the Number One Party School in the country.""[2] The article also served as inspiration for the 2002 film National Lampoon's Van Wilder.",https://en.wikipedia.org/wiki/Bert_Kreischer,https://upload.wikimedia.org/wikipedia/commons/c/ce/Bert_Kreischer_in_2012.jpg
Nick Kroll,1978-6-5,"Rye, New York, U.S.",,Alive,"Nicholas Kroll (born June 5, 1978) is an American actor, comedian, writer, and producer. He is known for creating and starring in the Comedy Central series Kroll Show, The Oh, Hello Show, the FX comedy series The League, and starring in and co-creating in the animated Netflix series Big Mouth. He has also acted or voice-acted in films such as Adult Beginners, Sausage Party, Loving, Sing, Captain Underpants: The First Epic Movie, The House, Uncle Drew, Operation Finale, and The Secret Life of Pets 2.Kroll was born in Rye, New York,[1][2] on June 5, 1978,[3] the son of Lynn and Jules Kroll.",https://en.wikipedia.org/wiki/Nick_Kroll,https://upload.wikimedia.org/wikipedia/commons/3/37/Nick_Kroll_2011_Shankbone.JPG
Judson Laipply,1976-3-22,"Ohio, U.S.",,Alive,"Judson Laipply (/ˈlaɪpli/; born March 22, 1976) is an American motivational speaker and dancer from Bucyrus, Ohio.[6] He served as the state president of The Ohio Association of Student Councils from 1993 to 1994. He is best known for his performance in the Evolution of Dance viral video clip.[7] He has worked as a public speaker since 2000.",https://en.wikipedia.org/wiki/Judson_Laipply,https://upload.wikimedia.org/wikipedia/commons/b/bf/Judson_Laipply.jpg
Lisa Lampanelli,1961-07-19,"Trumbull, Connecticut|Trumbull, Connecticut, U.S.",,Alive,"Lisa Lampanelli (born Lisa Marie Lampugnale; July 19, 1961)[1][2] is an American former stand-up comedian, actress and insult comic. Much of her material is racy and features ethnic humor, centering on various types of minority groups, most notably racial minorities and the LGBT community.Lampanelli, one of three siblings, was born in Trumbull, Connecticut, to a middle class family.[4] Three of her grandparents were of Italian descent, and the fourth of Polish ancestry.",https://en.wikipedia.org/wiki/Lisa_Lampanelli,https://upload.wikimedia.org/wikipedia/commons/b/be/Lisa_Lampanelli_Musto_Party_2011_David_Shankbone.JPG
Artie Lange,1967-10-11,"Livingston, New Jersey|Livingston, New Jersey, U.S.",,Alive,"Arthur Steven Lange Jr. (born October 11, 1967) is an American stand-up comedian, actor, radio personality, author, and podcaster best known for his tenures on the sketch comedy series Mad TV from 1995 to 1997 and as third mic on The Howard Stern Show from 2001 to 2009. Raised in New Jersey, Lange first worked as a longshoreman and taxi driver to help support his family, following the death of his quadriplegic father. He debuted as a stand-up comic in 1987 and took up the profession full-time five years later, developing his act in the New York City area.",https://en.wikipedia.org/wiki/Artie_Lange,https://upload.wikimedia.org/wikipedia/commons/6/65/Artielangesit.jpg
Larry the Cable Guy,1963-02-17,"Pawnee City, Nebraska, U.S.",,Alive,"Daniel Lawrence Whitney (born February 17, 1963), known professionally by his stage name Larry the Cable Guy, is an American stand-up comedian, actor, producer, singer and radio personality, with a career spanning over 30 years.[3]He was one of the members of the Blue Collar Comedy Tour, a comedy troupe which included Bill Engvall, Ron White, and Jeff Foxworthy (with whom he has starred on Blue Collar TV).Larry the Cable Guy has released seven comedy albums, of which three have been certified gold by the RIAA for shipments of 500,000 copies and in addition has starred in three Blue Collar Comedy Tour–related films, as well as in Larry the Cable Guy: Health Inspector, Delta Farce, and Witless Protection, as well as voicing Mater in the Cars franchise. Whitney's catchphrase ""Git-R-Done!"" is also the title of his book.",https://en.wikipedia.org/wiki/Larry_the_Cable_Guy,https://upload.wikimedia.org/wikipedia/commons/3/36/Larry_the_Cable_Guy.jpg
Mike Lawrence,1983-01-14,"Miami, Florida, U.S.",,Alive,"Michael Patrick ""Mike"" Lawrence (born January 14, 1983) is an American comedian and writer from Davie, Florida. He formerly lived in New York City[1] and currently lives in Los Angeles.Lawrence was born in Miami but grew up in Davie, Florida. He attended Western High School and earned a bachelor's degree from Florida Atlantic University in English.",https://en.wikipedia.org/wiki/Mike_Lawrence_(comedian),https://upload.wikimedia.org/wikipedia/commons/1/1a/Mike_Lawrence_performing_live.jpeg
Bobby Lee,1971-09-17,"San Diego, California, U.S.",,Alive,"Robert Lee Jr. (born September 17, 1971[A 1]) is an American actor, comedian and podcaster, best known for being a cast member on MADtv from 2001 to 2009 and for his roles in the films Harold & Kumar Go to White Castle (2004), Pineapple Express (2008), and The Dictator (2012).[5] Between 2018 and 2019, Lee co-starred in the ABC single-camera sitcom series Splitting Up Together alongside Jenna Fischer and Oliver Hudson.In 2016, Lee and his girlfriend, Khalyla Kuhn, started a weekly podcast titled TigerBelly, which currently has over 426,000 subscribers and over 75 million views on YouTube.",https://en.wikipedia.org/wiki/Bobby_Lee,https://upload.wikimedia.org/wikipedia/commons/0/00/Bobby_Lee.jpg
Natasha Leggero,1974-3-26,"Rockford, Illinois|Rockford, Illinois, U.S",,Alive,"Natasha Leggero (/ˈlɛʒɛəroʊ/; born March 26, 1974) is an American actress, comedian, and writer. She rose to fame after appearing as the host of MTV's The 70s House (2005), and for her tenure as a regular roundtable panelist on Chelsea Handler's late-night talk show Chelsea Lately.[1] Her comedy, characterized as observational, has been noted by critics for its use of satire as commentary on such themes as celebrity culture and social class.Her stand-up television appearances include performances on The Tonight Show with Jay Leno, The Late Late Show with Craig Ferguson,  Last Call with Carson Daly and The Tonight Show Starring Jimmy Fallon.",https://en.wikipedia.org/wiki/Natasha_Leggero,https://upload.wikimedia.org/wikipedia/commons/7/74/Natasha_Leggero.jpg
John Leguizamo,1964-7-22,"Bogotá, Colombia",,Alive,"John Alberto Leguizamo (/ˌlɛɡɪˈzɑːmoʊ/; Colombian Spanish: [leɣiˈsamo]; born July 22, 1964)[1] is an American  actor, stand-up comedian, producer, playwright and screenwriter. He rose to fame with a co-starring role in the action comedy Super Mario Bros. (1993) as Luigi and a supporting role in the crime drama Carlito's Way (1993). Other roles include Sid the Sloth in the animated Ice Age films (2002–2016) and the narrator of the sitcom The Brothers García (2000–2004).",https://en.wikipedia.org/wiki/John_Leguizamo,https://upload.wikimedia.org/wikipedia/commons/d/d9/9.21.14JohnLeguizamoByLuigiNovi1.jpg
Tom Lehrer,1928-04-09,"Manhattan, New York City",,Alive,"Thomas Andrew Lehrer (/ˈlɛərər/; born April 9, 1928) is a retired American musician, singer-songwriter, satirist, and mathematician. He has lectured on mathematics and musical theater. He is best known for the pithy and humorous songs that he recorded in the 1950s and 1960s. His songs often parodied popular musical forms, though he usually created original melodies when doing so.",https://en.wikipedia.org/wiki/Tom_Lehrer,https://upload.wikimedia.org/wikipedia/commons/4/4d/Tom_Lehrer_-_Southern_Campus_1960.jpg
Carol Leifer,1956-7-27,"East Williston, New York, United States|U.S.",,Alive,"Carol Leifer (/ˈliːfər/ LEE-fər;[1]born July 27, 1956) is an American comedian, writer, producer and actress whose career as a stand-up comedian started in the 1970s when she was in college. David Letterman discovered her performing in a comedy club in the 1980s and she would later be a guest on Late Night with David Letterman over 25 times. She has written many television scripts including for The Larry Sanders Show, Saturday Night Live and Seinfeld.[2]Leifer's inner-monologue driven, observational style is often autobiographical, encompassing subjects about her Jewish ancestry and upbringing, coming out, same-sex marriage, relationships (having been married previously to a man and now partnered with a woman) and parenting.",https://en.wikipedia.org/wiki/Carol_Leifer,https://upload.wikimedia.org/wikipedia/commons/8/8b/Carol_Leifer_2011-05-14.jpg
Darryl Lenox,46-2013-2-28,"Las Vegas Valley|Las Vegas, Nevada, U.S.",,Alive,"Darryl Lenox is an American comedian who has made appearances on Conan O'Brien, Comedy Central, WTF with Marc Maron, Starz (TV channel), BET, and A&E (TV channel). He is also popular in Canada, having lived there for 12 years. His standup special Blind Ambition was filmed at The Vogue Theatre in Vancouver, BC and picked up by the Starz network.  Lenox is signed to Stand Up! Records.",https://en.wikipedia.org/wiki/Darryl_Lenox,No Image
David Letterman,1947-4-12,"Indianapolis, Indiana, U.S.",,Alive,"David Michael Letterman (born April 12, 1947) is an American television host, comedian, writer, and producer. He hosted late night television talk shows for 33 years, beginning with the February 1, 1982, debut of Late Night with David Letterman on NBC, and ending with the May 20, 2015, broadcast of Late Show with David Letterman on CBS. In total, Letterman hosted 6,080 episodes of Late Night and Late Show,[1] surpassing his friend and mentor Johnny Carson as the longest-serving late night talk show host in American television history.[2] In 1996, Letterman was ranked 45th on TV Guide's 50 Greatest TV Stars of All Time.",https://en.wikipedia.org/wiki/David_Letterman,https://upload.wikimedia.org/wikipedia/commons/b/b7/David_Letterman_with_his_Individual_Peabody_at_the_75th_Annual_Peabody_Awards_%28cropped%29.jpg
Kristine Levine,1970-8-17,Oregon,,Alive,"Kristine Levine (born August 17, 1970) is an American comedian, actor, and author best known for performing in the sketch comedy television series Portlandia.[1][2].",https://en.wikipedia.org/wiki/Kristine_Levine,No Image
Bob Levy,1962-08-12,"Staten Island, New York",,Alive,"""The Reverend"" Bob Levy (born August 12, 1962) is an American stand-up comedian, radio personality, writer, and actor.Levy was born on Staten Island in New York City.[1] He dropped out of high school after six years and worked several jobs, including landscaping and painting.[1] For a brief period, he was a semi-professional wrestler under the name ""Heartbreaker"" Bobby Slayer.",https://en.wikipedia.org/wiki/Bob_Levy_(comedian),No Image
Dan Levy,1981-03-19,"Stamford, Connecticut",,Alive,"Daniel Levy (born March 19, 1981), is an American comedian, actor, writer, and producer from Stamford, Connecticut. He lives in Los Angeles, California.[1]Levy was born on March 19, 1981, to Linda and Elliott L. Levy.",https://en.wikipedia.org/wiki/Dan_Levy_(American_comedian),https://upload.wikimedia.org/wikipedia/commons/b/b9/DanLevyLive.jpg
Richard Lewis,1947-6-29,"Brooklyn, New York, U.S.",,Alive,"Richard Philip Lewis (born June 29, 1947) is an American stand-up comedian and actor.He came to prominence in the 1980s as a comedian specializing in self-deprecating humor before turning to acting. He is also known for co-starring in the comedy series Anything but Love (1989–92) and for his recurring and semi-autobiographical role in HBO’s Curb Your Enthusiasm (2000–present).Richard Lewis was born in Brooklyn, New York, and raised in Englewood, New Jersey, where he graduated from Dwight Morrow High School in 1965.",https://en.wikipedia.org/wiki/Richard_Lewis_(comedian),https://upload.wikimedia.org/wikipedia/commons/c/cb/Richard_Lewis_%28cropped%29.PNG
Wendy Liebman,1961-2-27,"Manhasset, New York, United States",,Alive,"Wendy Liebman (born February 27, 1961 in Manhasset, New York) is an American stand-up comedian. Her standup style involves the use of gently paced, subtle wordplay.[1]Liebman grew up in Roslyn, Long Island, New York, where she lived in a house at 110 Crescent Lane. Her earliest performances involved her, her sister, and a neighborhood friend performing the play Rumpelstilskin in their basement.",https://en.wikipedia.org/wiki/Wendy_Liebman,https://upload.wikimedia.org/wikipedia/commons/1/1e/Wendy_Liebman.jpg
Joe List,1982-04-06,No home town,,Alive,"Joe List (born April 6, 1982) is an American stand-up comedian. Born in Whitman, Massachusetts, he began performing stand-up comedy in Boston, Massachusetts in 2000, shortly after graduating from high school.[1][2]List has been featured on Conan and The Late Show with David Letterman. In 2015, List was a finalist on NBC's Last Comic Standing and recorded a half-hour comedy special on Comedy Central.",https://en.wikipedia.org/wiki/Joe_List,https://upload.wikimedia.org/wikipedia/commons/d/d4/Joe_List.jpg
Rob Little,1972-12-24-38,"Pinconning, Michigan, U.S.",,Alive,"Rob Little (born December 24, 1972) is an American comedian and actor from Pinconning, Michigan.  He has been performing stand-up comedy since 1998 and has been acting in movies and television.  He has also produced two straight to DVD comedy specials based on his stand-up. His humor is often self-deprecating, although he prides himself as the ""happiest comic in America.",https://en.wikipedia.org/wiki/Rob_Little,No Image
George Lopez,1961-4-23,"Mission Hills, Los Angeles, California, U.S.",,Alive,"George Edward Lopez (born April 23, 1961)[1] is an American comedian and actor. He is known for starring in his self-produced ABC sitcom. His stand-up comedy examines race and ethnic relations, including Mexican American culture. Lopez has received several honors for his work and contributions to the Latino community, including the 2003 Imagen Vision Award, the 2003 Latino Spirit Award for Excellence in Television and the National Hispanic Media Coalition Impact Award.",https://en.wikipedia.org/wiki/George_Lopez,https://upload.wikimedia.org/wikipedia/commons/5/55/George_Lopez_2019.jpg
Loni Love,1971-7-14,"Detroit, Michigan, U.S.",,Alive,"Loni Love (born July 14, 1971) is an American comedian, television host, actress, author and former electrical engineer. While working as an electrical engineer in the early 2000s, she switched to music engineering, until later launching a career in stand-up comedy. She was the runner-up on Star Search 2003 and was named among the ""Top 10 Comics to Watch"" in both Variety and Comedy Central in 2009. She is one of the co-hosts of the syndicated daytime talk show The Real, which is in its sixth season, alongside Jeannie Mai, Tamera Mowry, Adrienne Bailon, and Amanda Seales, which premiered on July 15, 2013.",https://en.wikipedia.org/wiki/Loni_Love,https://upload.wikimedia.org/wikipedia/commons/6/61/Loni_Love_140_Twitter_Conference_2009.jpg
Kenny and Keith Lucas,1985-09-13,"Newark, New Jersey, U.S.",,Alive,"Kenny Lucas and Keith Lucas[1] (born September 13, 1985), collectively referred to as The Lucas Brothers,[2] are American identical twin comedians,[3] actors, writers,[4] and producers.The Lucas Brothers were born and raised in Newark, New Jersey. They also spent some time in High Point, North Carolina.[5]The brothers both graduated with honors from the College of New Jersey in 2007 with degrees in philosophy.",https://en.wikipedia.org/wiki/Kenny_and_Keith_Lucas,No Image
